Species1,Species2,DivergenceTime
Sorghum_bicolor,Brachypodium_distachyon,48.998211
Sorghum_bicolor,Hordeum_bogdanii,48.998211
Sorghum_bicolor,Hordeum_jubatum_Sub2,48.998211
Sorghum_bicolor,Hordeum_parodii_Sub2,48.998211
Sorghum_bicolor,Hordeum_roshevitzii,48.998211
Sorghum_bicolor,Hordeum_brevisubulatum,48.998211
Sorghum_bicolor,Hordeum_californicum,48.998211
Sorghum_bicolor,Hordeum_jubatum_Sub1,48.998211
Sorghum_bicolor,Hordeum_chilense,48.998211
Sorghum_bicolor,Hordeum_flexuosum,48.998211
Sorghum_bicolor,Hordeum_parodii_Sub1,48.998211
Sorghum_bicolor,Hordeum_erectifolium,48.998211
Sorghum_bicolor,Hordeum_stenostachys,48.998211
Sorghum_bicolor,Hordeum_euclaston,48.998211
Sorghum_bicolor,Hordeum_intercedens,48.998211
Sorghum_bicolor,Hordeum_pusillum,48.998211
Sorghum_bicolor,Hordeum_parodii_Sub3,48.998211
Sorghum_bicolor,Hordeum_pubiflorum,48.998211
Sorghum_bicolor,Hordeum_patagonicum,48.998211
Sorghum_bicolor,Hordeum_comosum,48.998211
Sorghum_bicolor,Hordeum_cordobense,48.998211
Sorghum_bicolor,Hordeum_muticum,48.998211
Sorghum_bicolor,Hordeum_secalinum_Sub2,48.998211
Sorghum_bicolor,Hordeum_gussoneanum,48.998211
Sorghum_bicolor,Hordeum_gussoneanum_Sub2,48.998211
Sorghum_bicolor,Hordeum_secalinum_Sub1,48.998211
Sorghum_bicolor,Hordeum_marinum_BCC2001,48.998211
Sorghum_bicolor,Hordeum_marinum_H559,48.998211
Sorghum_bicolor,Hordeum_gussoneanum_Sub1,48.998211
Sorghum_bicolor,Hordeum_bulbosum_Hap1,48.998211
Sorghum_bicolor,Hordeum_bulbosum_Hap2,48.998211
Sorghum_bicolor,Hordeum_vulgare,48.998211
Sorghum_bicolor,Hordeum_murinum_Sub1,48.998211
Sorghum_bicolor,Hordeum_murinum_BCC2017,48.998211
Sorghum_bicolor,Hordeum_murinum_Sub2,48.998211
Sorghum_bicolor,Triticum_monococcum,48.998211
Sorghum_bicolor,Oryza_sativa,48.998211
Brachypodium_distachyon,Sorghum_bicolor,48.998211
Brachypodium_distachyon,Hordeum_bogdanii,34.529178
Brachypodium_distachyon,Hordeum_jubatum_Sub2,34.529178
Brachypodium_distachyon,Hordeum_parodii_Sub2,34.529178
Brachypodium_distachyon,Hordeum_roshevitzii,34.529178
Brachypodium_distachyon,Hordeum_brevisubulatum,34.529178
Brachypodium_distachyon,Hordeum_californicum,34.529178
Brachypodium_distachyon,Hordeum_jubatum_Sub1,34.529178
Brachypodium_distachyon,Hordeum_chilense,34.529178
Brachypodium_distachyon,Hordeum_flexuosum,34.529178
Brachypodium_distachyon,Hordeum_parodii_Sub1,34.529178
Brachypodium_distachyon,Hordeum_erectifolium,34.529178
Brachypodium_distachyon,Hordeum_stenostachys,34.529178
Brachypodium_distachyon,Hordeum_euclaston,34.529178
Brachypodium_distachyon,Hordeum_intercedens,34.529178
Brachypodium_distachyon,Hordeum_pusillum,34.529178
Brachypodium_distachyon,Hordeum_parodii_Sub3,34.529178
Brachypodium_distachyon,Hordeum_pubiflorum,34.529178
Brachypodium_distachyon,Hordeum_patagonicum,34.529178
Brachypodium_distachyon,Hordeum_comosum,34.529178
Brachypodium_distachyon,Hordeum_cordobense,34.529178
